10-04-2024 19:37:54 RAM 13961/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 53%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.312C Tboard@43C SOC2@55.156C Tdiode@47.25C SOC0@53.812C CV1@-256C GPU@58.656C tj@63.312C SOC1@52.406C CV2@-256C VDD_GPU_SOC 28684mW/12759mW VDD_CPU_CV 18717mW/8214mW VIN_SYS_5V0 13897mW/7494mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8177mW/3514mW NC 0mW/0mW
10-04-2024 19:37:54 RAM 13961/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 56%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.656C Tboard@43C SOC2@55.125C Tdiode@47.25C SOC0@53.75C CV1@-256C GPU@58.968C tj@63.656C SOC1@52.312C CV2@-256C VDD_GPU_SOC 29083mW/13469mW VDD_CPU_CV 19115mW/8688mW VIN_SYS_5V0 14100mW/7781mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8379mW/3726mW NC 0mW/0mW
10-04-2024 19:37:55 RAM 13961/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 58%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.281C Tboard@43C SOC2@55.343C Tdiode@47.5C SOC0@53.968C CV1@-256C GPU@59.031C tj@63.281C SOC1@52.437C CV2@-256C VDD_GPU_SOC 29481mW/14136mW VDD_CPU_CV 19513mW/9139mW VIN_SYS_5V0 14303mW/8053mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8480mW/3924mW NC 0mW/0mW
10-04-2024 19:37:55 RAM 13963/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 61%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1296 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.75C Tboard@43C SOC2@55.312C Tdiode@47.5C SOC0@53.937C CV1@-256C GPU@59.312C tj@63.625C SOC1@52.437C CV2@50.937C VDD_GPU_SOC 29880mW/14766mW VDD_CPU_CV 19513mW/9554mW VIN_SYS_5V0 14404mW/8307mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8581mW/4110mW NC 0mW/0mW
10-04-2024 19:37:55 RAM 13962/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2326,100%@2324,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 65%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.843C Tboard@43C SOC2@55.625C Tdiode@47.5C SOC0@53.843C CV1@-256C GPU@59.75C tj@63.843C SOC1@52.562C CV2@-256C VDD_GPU_SOC 30278mW/15363mW VDD_CPU_CV 19912mW/9952mW VIN_SYS_5V0 14607mW/8549mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8682mW/4286mW NC 0mW/0mW
10-04-2024 19:37:55 RAM 13962/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 67%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@64.281C Tboard@43C SOC2@55.562C Tdiode@47.5C SOC0@54C CV1@-256C GPU@59.687C tj@64.281C SOC1@52.5C CV2@-256C VDD_GPU_SOC 30278mW/15915mW VDD_CPU_CV 20310mW/10336mW VIN_SYS_5V0 14607mW/8773mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8682mW/4449mW NC 0mW/0mW
10-04-2024 19:37:55 RAM 13962/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 69%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@64.093C Tboard@43C SOC2@55.625C Tdiode@47.5C SOC0@53.937C CV1@-256C GPU@59.843C tj@64.093C SOC1@52.656C CV2@-256C VDD_GPU_SOC 30278mW/16428mW VDD_CPU_CV 20310mW/10692mW VIN_SYS_5V0 14607mW/8982mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/4604mW NC 0mW/0mW
10-04-2024 19:37:55 RAM 13963/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 70%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@64.406C Tboard@43C SOC2@55.625C Tdiode@47.5C SOC0@54.062C CV1@-256C GPU@59.656C tj@64.406C SOC1@52.593C CV2@-256C VDD_GPU_SOC 30676mW/16919mW VDD_CPU_CV 20318mW/11024mW VIN_SYS_5V0 14708mW/9179mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/4748mW NC 0mW/0mW
10-04-2024 19:37:55 RAM 13962/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 71%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@64.218C Tboard@43C SOC2@55.812C Tdiode@47.5C SOC0@53.968C CV1@-256C GPU@59.937C tj@64.218C SOC1@52.687C CV2@-256C VDD_GPU_SOC 30676mW/17378mW VDD_CPU_CV 20318mW/11334mW VIN_SYS_5V0 14708mW/9363mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/4882mW NC 0mW/0mW
10-04-2024 19:37:56 RAM 13964/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 72%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@64.312C Tboard@43C SOC2@55.625C Tdiode@47.75C SOC0@54C CV1@-256C GPU@59.593C tj@64.312C SOC1@52.75C CV2@-256C VDD_GPU_SOC 30676mW/17807mW VDD_CPU_CV 20318mW/11623mW VIN_SYS_5V0 14708mW/9536mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/5008mW NC 0mW/0mW
10-04-2024 19:37:56 RAM 13962/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [75%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 74%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@64.656C Tboard@43C SOC2@55.687C Tdiode@47.75C SOC0@54.25C CV1@-256C GPU@59.875C tj@64.656C SOC1@52.656C CV2@-256C VDD_GPU_SOC 30676mW/18209mW VDD_CPU_CV 20318mW/11895mW VIN_SYS_5V0 14708mW/9697mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/5126mW NC 0mW/0mW
10-04-2024 19:37:56 RAM 13962/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [78%@2201,0%@2201,83%@2201,63%@2201,100%@2201,100%@2201,75%@2201,100%@2201,92%@2201,45%@2201,100%@2201,58%@2067] EMC_FREQ 75%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.031C Tboard@43C SOC2@55.437C Tdiode@47.75C SOC0@54.187C CV1@-256C GPU@59.812C tj@63.031C SOC1@52.906C CV2@-256C VDD_GPU_SOC 30689mW/18587mW VDD_CPU_CV 19123mW/12114mW VIN_SYS_5V0 14708mW/9849mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/5237mW NC 0mW/0mW
10-04-2024 19:37:56 RAM 13962/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [83%@2201,0%@2201,50%@2201,0%@2201,15%@960,23%@960,14%@960,25%@960,0%@2201,100%@2201,100%@2201,0%@2201] EMC_FREQ 76%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@60.093C Tboard@43C SOC2@55.375C Tdiode@47.75C SOC0@54.312C CV1@-256C GPU@59.906C tj@60.093C SOC1@52.75C CV2@-256C VDD_GPU_SOC 30701mW/18943mW VDD_CPU_CV 16340mW/12238mW VIN_SYS_5V0 14708mW/9992mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/5341mW NC 0mW/0mW
10-04-2024 19:37:56 RAM 13961/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,69%@2201,0%@2201,0%@2201,7%@2201,0%@2201,33%@2201,100%@2201,7%@2201] EMC_FREQ 76%@3199 GR3D_FREQ 99%@1298 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@60C Tboard@43C SOC2@54.812C Tdiode@48C SOC0@54.25C CV1@-256C GPU@59.218C tj@60C SOC1@52.687C CV2@-256C VDD_GPU_SOC 30302mW/19268mW VDD_CPU_CV 13157mW/12265mW VIN_SYS_5V0 14404mW/10118mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8581mW/5434mW NC 0mW/0mW
10-04-2024 19:37:56 RAM 13955/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,83%@2201,100%@2201,7%@2201,0%@2201,0%@2201,7%@729,0%@729,16%@729,7%@729] EMC_FREQ 69%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.562C Tboard@43C SOC2@54.312C Tdiode@48C SOC0@54.031C CV1@-256C GPU@56.25C tj@59.562C SOC1@52.781C CV2@-256C VDD_GPU_SOC 23952mW/19398mW VDD_CPU_CV 10774mW/12223mW VIN_SYS_5V0 11748mW/10163mW NC 0mW/0mW VDDQ_VDD2_1V8AO 6663mW/5468mW NC 0mW/0mW
