10-04-2024 19:39:05 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 50%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1296 VIC_FREQ 729 APE 174 CV0@-256C CPU@65.406C Tboard@45C SOC2@57.281C Tdiode@49C SOC0@55.718C CV1@-256C GPU@60.781C tj@65.406C SOC1@54.5C CV2@-256C VDD_GPU_SOC 28275mW/11962mW VDD_CPU_CV 19513mW/8159mW VIN_SYS_5V0 13897mW/7208mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8177mW/3294mW NC 0mW/0mW
10-04-2024 19:39:05 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 53%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@65.906C Tboard@45C SOC2@57.312C Tdiode@49.25C SOC0@55.968C CV1@-256C GPU@60.812C tj@65.906C SOC1@54.468C CV2@-256C VDD_GPU_SOC 29083mW/12707mW VDD_CPU_CV 19912mW/8670mW VIN_SYS_5V0 14201mW/7512mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8379mW/3515mW NC 0mW/0mW
10-04-2024 19:39:06 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2322,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 56%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@65.625C Tboard@45C SOC2@57.437C Tdiode@49.25C SOC0@55.843C CV1@-256C GPU@60.937C tj@65.625C SOC1@54.625C CV2@-256C VDD_GPU_SOC 29481mW/13405mW VDD_CPU_CV 20310mW/9155mW VIN_SYS_5V0 14303mW/7795mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8480mW/3722mW NC 0mW/0mW
10-04-2024 19:39:06 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 59%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1296 VIC_FREQ 729 APE 174 CV0@-256C CPU@66.031C Tboard@45C SOC2@57.531C Tdiode@49.5C SOC0@56.031C CV1@-256C GPU@60.937C tj@66.031C SOC1@54.5C CV2@-256C VDD_GPU_SOC 29880mW/14064mW VDD_CPU_CV 20310mW/9601mW VIN_SYS_5V0 14505mW/8064mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8581mW/3916mW NC 0mW/0mW
10-04-2024 19:39:06 RAM 13966/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 61%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@65.781C Tboard@45C SOC2@57.562C Tdiode@49.5C SOC0@55.937C CV1@-256C GPU@61.437C tj@66.093C SOC1@54.468C CV2@-256C VDD_GPU_SOC 29880mW/14673mW VDD_CPU_CV 20310mW/10013mW VIN_SYS_5V0 14607mW/8315mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8682mW/4100mW NC 0mW/0mW
10-04-2024 19:39:06 RAM 13966/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 64%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@65.906C Tboard@45C SOC2@57.718C Tdiode@49.5C SOC0@55.937C CV1@-256C GPU@61.25C tj@65.906C SOC1@54.718C CV2@-256C VDD_GPU_SOC 30278mW/15251mW VDD_CPU_CV 20708mW/10409mW VIN_SYS_5V0 14607mW/8548mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/4273mW NC 0mW/0mW
10-04-2024 19:39:06 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 66%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@66.312C Tboard@45C SOC2@57.593C Tdiode@49.5C SOC0@56.125C CV1@-256C GPU@61.531C tj@66.312C SOC1@54.656C CV2@-256C VDD_GPU_SOC 30278mW/15787mW VDD_CPU_CV 20708mW/10777mW VIN_SYS_5V0 14708mW/8768mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/4434mW NC 0mW/0mW
10-04-2024 19:39:06 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 67%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@66.125C Tboard@45C SOC2@57.75C Tdiode@49.5C SOC0@56.093C CV1@-256C GPU@61.312C tj@66.125C SOC1@54.718C CV2@-256C VDD_GPU_SOC 30278mW/16287mW VDD_CPU_CV 20708mW/11119mW VIN_SYS_5V0 14708mW/8973mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/4584mW NC 0mW/0mW
10-04-2024 19:39:06 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2369,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 69%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@65.906C Tboard@45C SOC2@57.843C Tdiode@49.5C SOC0@56.281C CV1@-256C GPU@61.531C tj@65.906C SOC1@54.593C CV2@-256C VDD_GPU_SOC 30278mW/16753mW VDD_CPU_CV 20708mW/11439mW VIN_SYS_5V0 14810mW/9168mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8884mW/4727mW NC 0mW/0mW
10-04-2024 19:39:06 RAM 13966/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,76%@2066,100%@2201] EMC_FREQ 71%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@66.25C Tboard@46C SOC2@57.875C Tdiode@49.5C SOC0@56.187C CV1@-256C GPU@61.5C tj@66.25C SOC1@54.937C CV2@-256C VDD_GPU_SOC 30676mW/17202mW VDD_CPU_CV 20708mW/11738mW VIN_SYS_5V0 14810mW/9350mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8884mW/4862mW NC 0mW/0mW
