10-04-2024 19:33:06 RAM 14024/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,7%@729,0%@729,7%@729,0%@729,0%@729,0%@729,7%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 53%@3199 GR3D_FREQ 99%@1298 GR3D2_FREQ 99%@1298 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.781C Tboard@44C SOC2@54.125C Tdiode@47.75C SOC0@54.187C CV1@-256C GPU@59.187C tj@59.187C SOC1@52.687C CV2@-256C VDD_GPU_SOC 28286mW/12617mW VDD_CPU_CV 3185mW/3601mW VIN_SYS_5V0 13998mW/7554mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8278mW/3579mW NC 0mW/0mW
10-04-2024 19:33:06 RAM 14024/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [14%@729,7%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,7%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 56%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.812C Tboard@44C SOC2@54.125C Tdiode@47.75C SOC0@54.187C CV1@-256C GPU@58.781C tj@58.781C SOC1@52.906C CV2@-256C VDD_GPU_SOC 28684mW/13316mW VDD_CPU_CV 2787mW/3565mW VIN_SYS_5V0 14201mW/7843mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8480mW/3792mW NC 0mW/0mW
10-04-2024 19:33:06 RAM 14025/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,7%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,7%@2201,100%@2201] EMC_FREQ 59%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.75C Tboard@44C SOC2@54.218C Tdiode@47.75C SOC0@54.406C CV1@-256C GPU@58.843C tj@58.843C SOC1@52.843C CV2@-256C VDD_GPU_SOC 29083mW/13973mW VDD_CPU_CV 2788mW/3533mW VIN_SYS_5V0 14404mW/8116mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8581mW/3991mW NC 0mW/0mW
10-04-2024 19:33:06 RAM 14026/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [33%@2201,14%@2201,28%@2201,0%@2201,7%@2201,0%@2201,7%@1187,8%@806,0%@2201,15%@2201,0%@2201,100%@2201] EMC_FREQ 61%@3199 GR3D_FREQ 99%@1298 GR3D2_FREQ 99%@1298 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.156C Tboard@44C SOC2@54.281C Tdiode@47.75C SOC0@54.312C CV1@-256C GPU@59C tj@59C SOC1@52.781C CV2@-256C VDD_GPU_SOC 29481mW/14593mW VDD_CPU_CV 3187mW/3519mW VIN_SYS_5V0 14505mW/8372mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8682mW/4179mW NC 0mW/0mW
10-04-2024 19:33:06 RAM 14029/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,15%@729,0%@729,0%@729,0%@729,8%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 63%@3199 GR3D_FREQ 99%@1298 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.875C Tboard@44C SOC2@54.437C Tdiode@47.75C SOC0@54.281C CV1@-256C GPU@59C tj@59C SOC1@52.906C CV2@-256C VDD_GPU_SOC 29481mW/15166mW VDD_CPU_CV 3187mW/3506mW VIN_SYS_5V0 14505mW/8608mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8682mW/4352mW NC 0mW/0mW
10-04-2024 19:33:07 RAM 14028/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,7%@2201,0%@2201,100%@2201] EMC_FREQ 65%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.125C Tboard@44C SOC2@54.343C Tdiode@47.75C SOC0@54.437C CV1@-256C GPU@59.093C tj@59.093C SOC1@52.875C CV2@-256C VDD_GPU_SOC 29481mW/15696mW VDD_CPU_CV 3187mW/3494mW VIN_SYS_5V0 14607mW/8830mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8682mW/4512mW NC 0mW/0mW
10-04-2024 19:33:07 RAM 14028/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,7%@729,7%@729,0%@729,7%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 67%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.875C Tboard@44C SOC2@54.25C Tdiode@47.75C SOC0@54.406C CV1@-256C GPU@59.281C tj@59.281C SOC1@53.156C CV2@-256C VDD_GPU_SOC 29880mW/16202mW VDD_CPU_CV 3187mW/3483mW VIN_SYS_5V0 14607mW/9036mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/4665mW NC 0mW/0mW
10-04-2024 19:33:07 RAM 14028/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,0%@729,7%@729,7%@729,0%@729,0%@729,0%@729,0%@729,7%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 69%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.906C Tboard@44C SOC2@54.5C Tdiode@48C SOC0@54.562C CV1@-256C GPU@59.375C tj@59.375C SOC1@53C CV2@-256C VDD_GPU_SOC 29880mW/16674mW VDD_CPU_CV 3187mW/3473mW VIN_SYS_5V0 14708mW/9232mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/4807mW NC 0mW/0mW
10-04-2024 19:33:07 RAM 14028/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,14%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 70%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.25C Tboard@44C SOC2@54.437C Tdiode@48C SOC0@54.468C CV1@-256C GPU@59.687C tj@59.687C SOC1@52.906C CV2@-256C VDD_GPU_SOC 29880mW/17114mW VDD_CPU_CV 2788mW/3450mW VIN_SYS_5V0 14708mW/9414mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/4939mW NC 0mW/0mW
10-04-2024 19:33:07 RAM 14028/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,7%@729,0%@729,0%@729,0%@729,0%@729,0%@729,7%@729,0%@2201,7%@2201,0%@2201,100%@2201] EMC_FREQ 71%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1298 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.093C Tboard@44C SOC2@54.406C Tdiode@48C SOC0@54.437C CV1@-256C GPU@59.218C tj@59.218C SOC1@52.812C CV2@-256C VDD_GPU_SOC 29880mW/17526mW VDD_CPU_CV 2788mW/3429mW VIN_SYS_5V0 14708mW/9585mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8783mW/5063mW NC 0mW/0mW
