10-04-2024 17:51:45 RAM 9235/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,3%@729,6%@729,7%@729,2%@2201,3%@2201,0%@2201,100%@2201,2%@729,2%@729,1%@729,2%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.062C Tboard@36C SOC2@43.937C Tdiode@37.5C SOC0@44.625C CV1@-256C GPU@-256C tj@48.062C SOC1@43.906C CV2@-256C
10-04-2024 17:51:46 RAM 9239/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@1267,1%@1267,7%@1267,5%@1267,2%@2201,3%@2201,0%@2201,100%@2201,3%@1036,3%@1036,2%@1036,2%@1036] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.125C Tboard@36C SOC2@44C Tdiode@37.25C SOC0@44.718C CV1@-256C GPU@-256C tj@47.937C SOC1@43.875C CV2@-256C
10-04-2024 17:51:47 RAM 9243/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@729,3%@729,6%@729,2%@729,2%@2201,2%@2201,0%@2201,100%@2201,3%@729,3%@729,2%@729,2%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.187C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.656C CV1@-256C GPU@-256C tj@48.187C SOC1@43.812C CV2@-256C
10-04-2024 17:51:48 RAM 9248/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,5%@729,9%@729,1%@729,2%@2201,2%@2201,0%@2201,100%@2201,2%@729,1%@729,2%@729,2%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.093C Tboard@36C SOC2@43.937C Tdiode@37.25C SOC0@44.687C CV1@-256C GPU@-256C tj@47.906C SOC1@43.843C CV2@-256C
10-04-2024 17:51:49 RAM 9253/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [12%@729,3%@729,1%@729,1%@729,2%@2201,2%@2201,0%@2201,100%@2201,1%@729,2%@729,1%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.687C Tboard@36C SOC2@43.968C Tdiode@37.5C SOC0@44.718C CV1@-256C GPU@-256C tj@47.687C SOC1@43.843C CV2@-256C
10-04-2024 17:51:50 RAM 9259/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,4%@729,1%@729,2%@729,2%@2201,2%@2201,0%@2201,100%@2201,2%@729,2%@729,1%@729,2%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.125C Tboard@36C SOC2@43.937C Tdiode@37.25C SOC0@44.625C CV1@-256C GPU@-256C tj@47.843C SOC1@43.906C CV2@-256C
10-04-2024 17:51:51 RAM 9266/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [9%@1497,4%@1497,5%@1497,2%@1497,2%@2201,1%@2201,3%@2201,100%@2201,1%@729,1%@729,0%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.906C Tboard@36C SOC2@44.031C Tdiode@37.25C SOC0@44.718C CV1@-256C GPU@-256C tj@47.906C SOC1@43.968C CV2@-256C
10-04-2024 17:51:52 RAM 9268/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [6%@729,1%@729,3%@729,3%@729,3%@2201,1%@2201,3%@2201,100%@2201,2%@729,1%@729,0%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.218C Tboard@36C SOC2@44C Tdiode@37.25C SOC0@44.718C CV1@-256C GPU@-256C tj@48.218C SOC1@44.031C CV2@-256C
10-04-2024 17:51:53 RAM 9276/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,3%@729,1%@729,4%@729,0%@2201,2%@2201,2%@2201,100%@2201,2%@729,1%@729,1%@729,2%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.75C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.593C CV1@-256C GPU@-256C tj@47.75C SOC1@43.906C CV2@-256C
10-04-2024 17:51:54 RAM 9280/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [3%@729,3%@729,2%@729,1%@729,3%@2201,1%@2201,0%@2201,100%@2201,3%@729,3%@729,4%@729,2%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.718C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.468C CV1@-256C GPU@-256C tj@47.843C SOC1@44.062C CV2@-256C
